City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Fortuna,US,40.5982,-124.1573,51.01,93,90,10.36,overcast clouds
79,Punta Arenas,CL,-53.15,-70.9167,51.8,50,0,18.41,clear sky
80,Somerset,US,40.5668,-74.5496,37.99,80,1,6.44,clear sky
81,Fairbanks,US,64.8378,-147.7164,-7.6,71,75,2.91,broken clouds
82,Taunggyi,MM,20.7833,97.0333,55.24,67,0,1.81,clear sky
83,Avera,US,33.194,-82.5271,50.0,46,1,5.75,clear sky
84,Caohai,CN,26.8661,104.2841,42.55,91,99,7.29,overcast clouds
85,Boueni,YT,-12.9025,45.0761,78.8,89,0,2.3,clear sky
86,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.13,90,100,3.27,overcast clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,69.8,46,0,5.75,clear sky
88,Port Hardy,CA,50.6996,-127.4199,44.6,76,75,9.22,broken clouds
89,Haapsalu,EE,58.9431,23.5414,12.0,84,98,8.99,overcast clouds
90,Skibotn,NO,69.3913,20.2679,28.4,74,75,16.11,light snow
91,Teahupoo,PF,-17.8333,-149.2667,84.2,65,75,8.05,light rain
92,Patrocinio,BR,-18.9439,-46.9925,66.99,100,83,2.06,broken clouds
93,Gummidipundi,IN,13.4,80.15,68.0,88,39,2.64,mist
94,Pozo Colorado,PY,-23.4923,-58.7972,70.93,70,0,4.7,clear sky
95,Miri,MY,4.4148,114.0089,78.8,100,40,4.61,scattered clouds
96,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.0,64,0,1.01,clear sky
97,Talnakh,RU,69.4865,88.3972,-27.56,83,51,4.56,broken clouds
98,Miles City,US,46.4083,-105.8406,17.6,67,90,12.66,overcast clouds
99,Hithadhoo,MV,-0.6,73.0833,81.34,81,100,16.08,overcast clouds
100,Sokoni,TZ,-6.4333,39.55,78.8,83,20,7.7,few clouds
101,Mount Gambier,AU,-37.8333,140.7667,64.4,68,40,13.8,scattered clouds
102,Namibe,AO,-15.1961,12.1522,70.65,80,86,6.55,overcast clouds
103,Jamestown,US,42.097,-79.2353,23.0,68,90,19.57,light snow
104,Kenai,US,60.5544,-151.2583,16.0,85,90,3.44,light snow
105,Chokurdakh,RU,70.6333,147.9167,-19.62,86,0,11.65,clear sky
106,Victoria,HK,22.2855,114.1577,66.0,82,0,4.76,clear sky
107,Harlingen,US,26.1906,-97.6961,64.99,88,90,13.8,overcast clouds
108,Cayenne,GF,4.9333,-52.3333,78.8,94,75,5.75,broken clouds
109,Giyon,ET,8.5333,37.9833,57.11,50,0,3.83,clear sky
110,Praya,CV,14.9215,-23.5087,68.0,68,40,20.71,scattered clouds
111,Vaini,TO,-21.2,-175.2,84.2,84,75,4.61,broken clouds
112,Kodiak,US,57.79,-152.4072,39.2,65,75,14.97,broken clouds
113,Torbay,CA,47.6666,-52.7314,36.0,100,90,25.32,overcast clouds
114,Sinnamary,GF,5.3833,-52.95,77.63,87,86,14.58,overcast clouds
115,Mataura,NZ,-46.1927,168.8643,74.98,47,92,3.65,overcast clouds
116,Sechura,PE,-5.5569,-80.8222,77.81,62,94,16.4,overcast clouds
117,Wajid,SO,3.8093,43.2471,68.04,81,3,12.46,clear sky
118,Yaan,NG,7.3833,8.5667,75.63,19,0,3.69,clear sky
119,Mahebourg,MU,-20.4081,57.7,77.0,88,75,6.91,light rain
120,Tiksi,RU,71.6872,128.8694,-22.76,87,100,6.62,overcast clouds
121,Dikson,RU,73.5069,80.5464,-31.65,85,9,10.87,clear sky
122,Pangnirtung,CA,66.1451,-65.7125,23.16,93,100,4.92,overcast clouds
123,Deputatskiy,RU,69.3,139.9,-23.33,88,100,1.19,overcast clouds
124,Yeppoon,AU,-23.1333,150.7333,87.8,48,40,5.75,scattered clouds
125,Ilulissat,GL,69.2167,-51.1,10.4,31,100,12.66,overcast clouds
126,Toora-Khem,RU,52.4675,96.11,-3.57,89,97,1.68,overcast clouds
127,Puerto Escondido,MX,15.85,-97.0667,80.6,78,75,9.22,broken clouds
128,Okha,RU,53.5739,142.9478,-4.86,90,100,19.13,overcast clouds
129,Barra Do Bugres,BR,-15.0725,-57.1811,75.54,82,96,1.32,overcast clouds
130,Kensington,AU,-33.9167,151.2167,75.2,78,100,13.8,moderate rain
131,Oksfjord,NO,70.2396,22.3479,28.4,74,90,3.44,light snow
132,Mount Isa,AU,-20.7333,139.5,86.0,51,73,9.22,broken clouds
133,Tuatapere,NZ,-46.1333,167.6833,68.67,63,21,6.53,few clouds
134,Avarua,CK,-21.2078,-159.775,86.0,70,20,12.66,few clouds
135,Kenora,CA,49.8167,-94.4337,-2.0,71,90,16.11,snow
136,Espanola,US,35.9911,-106.0806,39.99,33,1,19.57,clear sky
137,Semey,KZ,50.4111,80.2275,21.2,86,40,4.47,snow
138,Fraga,ES,41.5229,0.3489,59.0,51,0,19.57,clear sky
139,San Juan,AR,-31.5375,-68.5364,83.89,24,0,8.86,clear sky
140,Constitucion,CL,-35.3333,-72.4167,56.84,89,0,0.67,clear sky
141,East London,ZA,-33.0153,27.9116,73.78,90,99,9.55,overcast clouds
142,Adrar,MR,20.5022,-10.0711,60.87,39,100,8.52,overcast clouds
143,Longyearbyen,SJ,78.2186,15.6401,28.4,69,75,16.11,broken clouds
144,Banda Aceh,ID,5.5577,95.3222,79.18,81,47,11.16,scattered clouds
145,Boddam,GB,57.4667,-1.7833,35.6,93,90,14.97,light rain
146,Isangel,VU,-19.55,169.2667,86.0,70,20,3.44,few clouds
147,Yinchuan,CN,38.4681,106.2731,33.48,68,0,3.69,clear sky
148,Birin,NP,26.8865,88.0718,44.69,71,0,3.06,clear sky
149,Redcliffe,AU,-27.2307,153.0973,82.99,65,75,5.75,broken clouds
150,Provideniya,RU,64.3833,-173.3,8.92,92,100,11.1,overcast clouds
151,Coaldale,CA,49.7167,-112.6185,-2.0,78,90,17.27,light snow
152,Port-Cartier,CA,50.0334,-66.8654,32.0,93,100,10.36,snow
153,Koumac,NC,-20.5667,164.2833,82.35,65,19,5.08,few clouds
154,Mugur-Aksy,RU,50.35,90.5,8.22,86,99,4.27,overcast clouds
155,Lagunas,PE,-5.2269,-75.6753,74.71,92,97,3.11,overcast clouds
156,Guerrero Negro,MX,27.9769,-114.0611,62.2,58,0,17.63,clear sky
157,Sadovo,BG,42.1333,24.9333,46.99,93,100,3.44,overcast clouds
158,Puerto Del Rosario,ES,28.5004,-13.8627,55.4,76,0,10.36,clear sky
159,Touros,BR,-5.1989,-35.4608,77.0,83,20,4.61,few clouds
160,Katsuura,JP,35.1333,140.3,52.0,49,20,3.44,few clouds
161,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,59,0,13.8,clear sky
162,Pitimbu,BR,-7.4706,-34.8086,78.8,83,20,4.61,few clouds
163,Port Elizabeth,ZA,-33.918,25.5701,71.6,88,90,6.91,overcast clouds
164,Coihaique,CL,-45.5752,-72.0662,73.4,46,0,2.3,clear sky
165,Vardo,NO,70.3705,31.1107,28.35,89,99,23.91,overcast clouds
166,Matranovak,HU,48.0381,19.9826,36.63,92,100,2.04,overcast clouds
167,Camopi,GF,3.1655,-52.3158,72.54,97,98,3.42,overcast clouds
168,Asau,RO,46.4333,26.4,34.0,74,100,1.32,light snow
169,Chuy,UY,-33.6971,-53.4616,60.42,85,0,6.76,clear sky
170,Kattivakkam,IN,13.2167,80.3167,68.0,88,17,2.57,mist
171,Lebu,CL,-37.6167,-73.65,57.87,92,11,3.69,few clouds
172,Maldonado,UY,-34.6667,-54.9167,66.2,72,20,9.22,few clouds
173,Georgiyevka,KZ,43.0369,74.7114,30.2,80,100,4.47,mist
174,Palmer,US,42.1584,-72.3287,32.0,93,32,6.13,scattered clouds
175,North Myrtle Beach,US,33.816,-78.68,53.6,100,75,5.75,broken clouds
176,Nishihara,JP,26.1842,127.7558,71.6,49,20,4.61,few clouds
177,Bubaque,GW,11.2833,-15.8333,78.21,62,100,16.53,overcast clouds
178,Nuuk,GL,64.1835,-51.7216,19.4,68,0,18.41,clear sky
179,Ludza,LV,56.55,27.7167,-2.49,93,56,5.7,broken clouds
180,Palatka,US,29.6486,-81.6376,66.99,82,67,4.47,broken clouds
181,Tahta,EG,26.7693,31.5021,53.6,62,0,5.75,clear sky
182,Nome,US,64.5011,-165.4064,15.8,79,90,25.32,light snow
183,Hambantota,LK,6.1241,81.1185,73.4,100,75,3.44,broken clouds
184,Baiyin,CN,36.5583,104.2081,17.6,35,0,8.95,clear sky
