City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Te Anau,NZ,75.04,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
261,Bambanglipuro,ID,80.76,few clouds,-7.95,110.2833,Puri Brata
269,Tautira,PF,84.2,broken clouds,-17.7333,-149.15,Pension Oaoa
270,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
275,Anloga,GH,84.2,scattered clouds,5.7947,0.8973,Pin Drop Hotel
280,Gabas,PH,81.23,broken clouds,10.7297,124.7961,VSU Hostel
288,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
295,Cap Malheureux,MU,75.99,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
299,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
310,Maragogi,BR,77.63,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
313,Sapele,NG,79.74,clear sky,5.8941,5.6767,Movig Hotel & Suites
315,Vanimo,PG,81.21,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
316,Alta Floresta,BR,75.27,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
318,Manggar,ID,81.86,broken clouds,-2.8833,108.2667,Guest Hotel
319,Santa Rita,BR,78.8,few clouds,-7.1139,-34.9781,Infinity Motel
320,Boa Vista,BR,80.6,light rain,2.8197,-60.6733,Aipana Plaza Hotel
323,Gold Coast,AU,86.0,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
325,Kavaratti,IN,80.53,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
329,Port-Gentil,GA,81.91,broken clouds,-0.7193,8.7815,Fengshui Residence
330,Caravelas,BR,80.24,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
332,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
339,Mannarakkat,IN,75.2,haze,10.9833,76.4667,The Park Residency
346,Auki,SB,85.66,light rain,-8.7676,160.7034,Auki Motel
349,Palauig,PH,80.71,broken clouds,15.435,119.9045,Myhousebythesea
350,Bonthe,SL,77.41,clear sky,7.5264,-12.505,Bonthe Holiday Village
356,Port Blair,IN,79.18,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
392,Gizo,SB,84.38,light rain,-8.103,156.8419,Imagination Island
399,Barahona,DO,75.6,clear sky,18.2085,-71.1008,Hotel Caribe
